0:-20.7489979781911 1:11.880098832165363 2:6.045222108170876 3:2.8314468083227964 4:3.3737096534700464 5:2.0250806133838712 6:-1.3641407417837248 7:-1.4950175136375117 8:-1.0448724777231555 9:-0.5780694010024694 10:-0.42796665381337096 11:1.8745858853888056 
0:-12.315216227371849 1:9.654529438066536 2:3.905196251530981 3:1.5978946405100047 4:3.2938402785107126 5:3.5702557311505156 6:2.4703031554752486 7:1.0201023950733714 8:1.067863746470477 9:0.43695631259066975 10:-0.40447567197851064 11:1.0606297781944423 
0:-11.258304583199044 1:8.600883723751867 2:5.464557143808055 3:5.00203082116437 4:5.605241720933687 5:2.7875255108027512 6:0.7775204018901599 7:-1.945597994705686 8:-3.5701576499960788 9:-4.259428592942623 10:-3.550182491822067 11:0.49830270296240814 
0:-10.991054047206907 1:13.39117639477409 2:5.50799425370361 3:4.1742781322214535 4:1.7876853593536963 5:-1.0594752266789507 6:1.8038479773543852 7:0.7677131044734087 8:-0.35296872195452544 9:-1.097674676508381 10:-1.0734892185337488 11:1.9376254370937436 
0:-17.153395752477195 1:12.62236857732456 2:3.6754300407377363 3:3.700213092135982 4:3.790615442908422 5:2.40519571836362 6:2.6912440463878573 7:1.2460629324872081 8:1.8997757768592216 9:0.5139809236090354 10:-0.1757313789307695 11:1.6684530438466965 
0:-18.880469896351602 1:11.26896021901759 2:7.265775615418945 3:5.505813555913042 4:2.667917306414035 5:2.1369804091731677 6:1.2920679349922843 7:0.9086223915949988 8:1.6987321149884682 9:-1.5704298854503427 10:0.6011287985863011 11:3.331510207948115 
0:-14.179961190202128 1:16.171039563234686 2:5.101229578881521 3:2.598610861378428 4:2.59496591905208 5:-0.8533652331417891 6:-0.2800903948506954 7:0.3689504466499851 8:2.233137360310854 9:1.8107321900567515 10:-0.1555953271333015 11:0.9629467315699153 
0:-10.765957206732999 1:12.40301863590875 2:4.945698706897023 3:2.778631974972781 4:2.3858246629522792 5:0.10457393866239384 6:1.0501840307407873 7:0.8609962189196558 8:1.6855961138441333 9:-0.008741314628853414 10:-1.5470993656505867 11:-0.7324956789240251 
0:-22.572658919427212 1:10.907859009943717 2:3.4220377791159926 3:6.69786168275002 4:3.0237098761550496 5:0.5250866338588582 6:-0.7922690855885577 7:-1.5718850521851353 8:-0.46537669909244805 9:-0.9903976096716023 10:-1.4549438568320803 11:0.8726708657244793 
0:-19.22717037002774 1:12.171911739268335 2:6.021586454155854 3:2.40490985356412 4:-2.0120348074995746 5:-1.3213635565317459 6:-1.2223221875796197 7:2.2199006827633028 8:2.257450894775789 9:1.5430164566273843 10:-0.12128388936500367 11:1.385877358279154 
0:-15.251708151235526 1:11.506799408859656 2:5.937182429272099 3:1.2735308911546135 4:1.1584673982442961 5:1.4831458021085 6:-0.07195840790128982 7:-0.13457293969847905 8:1.4198473067830886 9:1.06313889486589 10:-0.03624276751889777 11:0.1282684986717495 
