1:-20.7489979781911 2:11.880098832165363 3:6.045222108170876 4:2.8314468083227964 5:3.3737096534700464 6:2.0250806133838712 7:-1.3641407417837248 8:-1.4950175136375117 9:-1.0448724777231555 10:-0.5780694010024694 11:-0.42796665381337096 12:1.8745858853888056 
1:-12.315216227371849 2:9.654529438066536 3:3.905196251530981 4:1.5978946405100047 5:3.2938402785107126 6:3.5702557311505156 7:2.4703031554752486 8:1.0201023950733714 9:1.067863746470477 10:0.43695631259066975 11:-0.40447567197851064 12:1.0606297781944423 
1:-11.258304583199044 2:8.600883723751867 3:5.464557143808055 4:5.00203082116437 5:5.605241720933687 6:2.7875255108027512 7:0.7775204018901599 8:-1.945597994705686 9:-3.5701576499960788 10:-4.259428592942623 11:-3.550182491822067 12:0.49830270296240814 
1:-10.991054047206907 2:13.39117639477409 3:5.50799425370361 4:4.1742781322214535 5:1.7876853593536963 6:-1.0594752266789507 7:1.8038479773543852 8:0.7677131044734087 9:-0.35296872195452544 10:-1.097674676508381 11:-1.0734892185337488 12:1.9376254370937436 
1:-17.153395752477195 2:12.62236857732456 3:3.6754300407377363 4:3.700213092135982 5:3.790615442908422 6:2.40519571836362 7:2.6912440463878573 8:1.2460629324872081 9:1.8997757768592216 10:0.5139809236090354 11:-0.1757313789307695 12:1.6684530438466965 
1:-18.880469896351602 2:11.26896021901759 3:7.265775615418945 4:5.505813555913042 5:2.667917306414035 6:2.1369804091731677 7:1.2920679349922843 8:0.9086223915949988 9:1.6987321149884682 10:-1.5704298854503427 11:0.6011287985863011 12:3.331510207948115 
1:-14.179961190202128 2:16.171039563234686 3:5.101229578881521 4:2.598610861378428 5:2.59496591905208 6:-0.8533652331417891 7:-0.2800903948506954 8:0.3689504466499851 9:2.233137360310854 10:1.8107321900567515 11:-0.1555953271333015 12:0.9629467315699153 
1:-10.765957206732999 2:12.40301863590875 3:4.945698706897023 4:2.778631974972781 5:2.3858246629522792 6:0.10457393866239384 7:1.0501840307407873 8:0.8609962189196558 9:1.6855961138441333 10:-0.008741314628853414 11:-1.5470993656505867 12:-0.7324956789240251 
1:-22.572658919427212 2:10.907859009943717 3:3.4220377791159926 4:6.69786168275002 5:3.0237098761550496 6:0.5250866338588582 7:-0.7922690855885577 8:-1.5718850521851353 9:-0.46537669909244805 10:-0.9903976096716023 11:-1.4549438568320803 12:0.8726708657244793 
1:-19.22717037002774 2:12.171911739268335 3:6.021586454155854 4:2.40490985356412 5:-2.0120348074995746 6:-1.3213635565317459 7:-1.2223221875796197 8:2.2199006827633028 9:2.257450894775789 10:1.5430164566273843 11:-0.12128388936500367 12:1.385877358279154 
1:-15.251708151235526 2:11.506799408859656 3:5.937182429272099 4:1.2735308911546135 5:1.1584673982442961 6:1.4831458021085 7:-0.07195840790128982 8:-0.13457293969847905 9:1.4198473067830886 10:1.06313889486589 11:-0.03624276751889777 12:0.1282684986717495 
