1:-114.62189887498066 2:5.233434006994958 3:3.636640949116457 4:3.6385301907812346 5:3.6713609121842814 6:1.5394380908151954 7:1.2344398754107901 8:-1.2502675821482385 9:-1.8582039455754953 10:-1.7849528274184117 11:0.10313868472979904 12:0.5935095081743458 
1:-124.5707506297696 2:3.0834078593432 3:5.415917367554121 4:2.0011985833047836 5:-0.8229660135243391 6:1.9543198326251723 7:3.4729381342660544 8:0.2879680697300637 9:1.7311920495103026 10:0.09493877844846388 11:-0.3214853621169058 12:-0.17414727387181905 
1:-132.8787887044851 2:-1.9782267981165234 3:3.5272740935822178 4:4.931527557923784 5:-0.8140934365415751 6:1.7519412475906502 7:2.0452899859135214 8:-0.07641911026967207 9:1.1401994773928679 10:-0.7393014008528769 11:1.0549106182386239 12:-1.9676791255416513 
1:-112.64232595833455 2:7.205938571177684 3:3.754496736764902 4:2.8532614010586053 5:1.2930123251696455 6:3.42221492481172 7:1.4931136109712053 8:1.1721366788533518 9:2.2834751770509563 10:-0.2305887933237014 11:1.574006692224836 12:1.1878981408351281 
1:-120.67933104159889 2:2.5648361536069384 3:5.177968509079004 4:3.7576238287359134 5:1.3285789207035865 6:2.1362388053878627 7:1.6423882298633576 8:-1.0000426415625028 9:0.183098785534777 10:-2.4544832553609903 11:-0.824324962207255 12:1.4180305620069626 
1:-119.94383116899925 2:4.558646078458235 3:7.168123498120464 4:3.4285427777920674 5:-0.5258034651316361 6:0.4773780343157634 7:2.0785373851904563 8:0.10345321191694179 9:1.3851867353846767 10:-0.1934102277346228 11:1.3145765245962764 12:2.032817360994784 
1:-128.07053304495307 2:0.2303873026219181 3:6.278193171573316 4:4.297246591330132 5:-1.5839312153447418 6:2.982533067094289 7:4.237481421960117 8:-0.2658476529246552 9:-0.9185180933836805 10:0.8186030403998865 11:2.181821870730656 12:-0.6054015811877758 
1:-125.66196119710638 2:2.2993233015677754 3:6.737257113123729 4:3.7787890954447536 5:-0.3557219755399905 6:1.8003579766937334 7:2.659772110929682 8:-0.16055743653501775 9:1.1846915738859707 10:1.2066234228399244 11:2.1611442360278046 12:-1.2375263782021158 
1:-141.3983978542454 2:-5.567843306604921 3:4.434412807139245 4:5.151768992984469 5:-2.0004328255537414 6:0.6457884435300025 7:0.5959892143255394 8:-2.8388591831834074 9:1.6481080418529785 10:0.9091771180106254 11:2.4382036702761334 12:-0.6281017042011783 
1:-121.0019628493708 2:2.8294889017714104 3:5.750868884353249 4:4.680568337920088 5:2.3962640322106705 6:0.23721923979887238 7:1.025924060997514 8:0.3023251519874437 9:3.1211383285250225 10:1.0395539384516312 11:1.4092088736034398 12:1.1482864445005698 
1:-122.48170930248124 2:0.7746208609948164 3:3.884835524209135 4:4.627775731070784 5:1.4247118059960164 6:2.449525920695333 7:0.0392063909770517 8:-1.8904697231711456 9:2.225186924697991 10:-0.5259671742008303 11:1.0379198677710098 12:0.3545587446175844 
1:-117.38679434828984 2:3.861929951190976 3:3.954345226765244 4:2.407916761547173 5:1.8060803784974082 6:1.0007856996420785 7:0.6538174308965865 8:0.19555159724581506 9:2.8331319831091055 10:-0.04716613807793646 11:1.1189695893272456 12:-0.43970088556953657 
1:-119.69275246888762 2:4.678726918603518 3:5.83503420723238 4:3.755171254409825 5:1.3794661405853468 6:2.009267071219133 7:2.6970368226911403 8:3.3036492048062227 9:0.2946088753012792 10:1.4999112518289208 11:1.41143002941482 12:2.508449102401609 
1:-126.7632393624714 2:2.602650068079646 3:6.772147881949305 4:5.354466170691796 5:0.9805220007431528 6:1.9451937252183638 7:1.2513718386479273 8:-1.3081080291972746 9:2.8828152877511326 10:1.3559620873912208 11:0.5320577052004012 12:0.16989154840106657 
1:-117.86779884898152 2:3.525923965673198 3:6.309750740058541 4:3.0151399705742716 5:-0.10013230790924421 6:2.1245422767883038 7:0.5825657356333789 8:-0.1382683939589482 9:-0.09257431420518802 10:1.7349468848901144 11:0.1322245257412087 12:0.3128160171652614 
1:-121.07975969933372 2:3.978937452936595 3:6.262668457678726 4:4.158787057759197 5:1.9505812943771161 6:2.107331114063491 7:0.5833227475505187 8:2.2419969989151642 9:3.856435617354463 10:2.8186552138440217 11:2.16660312486935 12:0.7395341589713036 
